CODE	DESCRIPTION
COUNTYNAME 	 County name
ID_10km 	 Hexagon ID
RAW 	 LPIS with simple spatial summary (multiplart). 
INT 	 LPIS integrated to 20 metres (used for contiguity analysis)
N Score 	 1 to 6 as per description. Count of instances of each scoring per herd_to_herd relationshup summarised by unit area
OF_ALL 	 One Frag farm count - all farms
OF_ACT 	 One Frag farm count - active farms (bovine herds with stock 2020/2021)
M_CNT 	 Count of Multi-Frag farms - all farms
M_SUM 	 Sum of Farm Fragments of Multi-Frag farms - all farms
M_AV 	 Average number of Farm Fragments of Multi-Frag farms - all farms
M_AVDSUM 	 Sum of the average distance between same-farm fragments of Multi_Frag farms - all farms
M_AVD 	 Average of the average distance between same-farm fragments of Multi_Frag farms - all farms
M_SMX 	 Sum of the maximum distance between same-farm fragments of Multi_Frag farms - all farms
M_AMX 	 Average of the maximum distance between same-farm fragments of Multi_Frag farms - all farms
M_CNTA 	 Count of Multi-Frag farms - active farms
M_SUMA 	 Sum of Farm Fragments of Multi-Frag farms - active farms
M_AVA 	 Average number of Farm Fragments of Multi-Frag farms - active farms
M_AVDSMA 	 Sum of the average distance between same-farm fragments of Multi_Frag farms - active farms
M_AVDA 	 Average of the average distance between same-farm fragments of Multi_Frag farms - active farms
M_SMXA 	 Sum of the maximum distance between same-farm fragments of Multi_Frag farms - active farms
M_AMXA 	 Average of the maximum distance between same-farm fragments of Multi_Frag farms - active farms
CNT 	 Count of all farms
SUM 	 Sum of all fragments for all farms
AV 	 Average number of Farm Fragments of all farms
AVDSUM 	 Sum of the average distance between same-farm fragments of all farms
AVD 	 Average of the average distance between same-farm fragments of all farms
SMX 	 Sum of the maximum distance between same-farm fragments of all farms
AMX 	 Average of the maximum distance between same-farm fragments of all farms
L100 	 Count of farms with an Average of the maximum distance between same-farm fragments of less than 100 metres for all farms
L250 	 Count of farms with an Average of the maximum distance between same-farm fragments of less than 250 metres for all farms
L500 	 Count of farms with an Average of the maximum distance between same-farm fragments of less than 500 metres for all farms
L750 	 Count of farms with an Average of the maximum distance between same-farm fragments of less than 750 metres for all farms
L1KM 	 Count of farms with an Average of the maximum distance between same-farm fragments of less than 1000 metres for all farms
L1P5KM 	 Count of farms with an Average of the maximum distance between same-farm fragments of less than 1500 metres for all farms
L2KM 	 Count of farms with an Average of the maximum distance between same-farm fragments of less than 2000 metres for all farms
L2P5KM 	 Count of farms with an Average of the maximum distance between same-farm fragments of less than 2500 metres for all farms
L3KM 	 Count of farms with an Average of the maximum distance between same-farm fragments of less than 3000 metres for all farms
L3P5KM 	 Count of farms with an Average of the maximum distance between same-farm fragments of less than 3500 metres for all farms
L4KM 	 Count of farms with an Average of the maximum distance between same-farm fragments of less than 4000 metres for all farms
L4P5KM 	 Count of farms with an Average of the maximum distance between same-farm fragments of less than 4500 metres for all farms
L5KM 	 Count of farms with an Average of the maximum distance between same-farm fragments of less than 5000 metres for all farms
L6KM 	 Count of farms with an Average of the maximum distance between same-farm fragments of less than 6000 metres for all farms
L7KM 	 Count of farms with an Average of the maximum distance between same-farm fragments of less than 7000 metres for all farms
L8KM 	 Count of farms with an Average of the maximum distance between same-farm fragments of less than 8000 metres for all farms
L9KM 	 Count of farms with an Average of the maximum distance between same-farm fragments of less than 9000 metres for all farms
L10KM 	 Count of farms with an Average of the maximum distance between same-farm fragments of less than 10000 metres for all farms
GR5KM 	 Count of farms with an Average of the maximum distance between same-farm fragments of greater than 5000 metres for all farms
GR10KM 	 Count of farms with an Average of the maximum distance between same-farm fragments of greater than 10000 metres for all farms
CNTA 	 Count of all active farms (bovine herds with stock 2020/2021)
SUMA 	 Sum of all fragments for all active farms
AVA 	 Average number of Farm Fragments of all active farms
AVDSUMA 	 Sum of the average distance between same-farm fragments of active farms
AVDA 	 Average of the average distance between same-farm fragments of active farms
SMXA 	 Sum of the maximum distance between same-farm fragments of active farms
AMXA 	 Average of the maximum distance between same-farm fragments of active farms
L100A 	 Count of farms with an Average of the maximum distance between same-farm fragments of less than 100 metres for active farms
